n_number,mode_s_hex,model_code,model_name,manufacturer,owner_name,owner_city,owner_state,match_reasons,confidence,type_aircraft,type_engine,status_code
54DE,A6D5E3,5620037,MBB-BK117 D-3,AIRBUS HELICOPTERS INC,AIRBUS HELICOPTERS INC,GRAND PRAIRIE,TX,Model: MBB-BK117 D-3,medium,6,3,V
54DK,A6D5E8,4400000,Unknown,Unknown,FIVE ANGELS REAGAN LLC,DEERFIELD BEACH,FL,Owner name keyword,low,5,5,V
54MN,A6D6B3,1145004,AS350B3,AMERICAN EUROCOPTER CORP,WESTERN SKY AVIATION LLC,SCOTTSDALE,AZ,Model: AS350B3,medium,6,3,V
54RP,A6D718,5620025,MBB-BK117 D-3,AIRBUS HELICOPTERS DEUTSCHLAND,WEST PENN ALLEGHENY FOUNDATION LLC,PITTSBURGH,PA,Model: MBB-BK117 D-3,medium,6,3,V
550SC,A700FE,2076604,Unknown,Unknown,X AIR FLIGHT SUPPORT LLC,UVALDE,TX,Owner name keyword,low,5,5,V
5514L,A70611,2071835,Unknown,Unknown,FLIGHT SCHOOL OF GWINNETT INC,LAWRENCEVILLE,GA,Owner name keyword,low,4,8,V
551EM,A70392,2730177,Unknown,Unknown,PARAMOUNT AEROSPACE SYSTEMS USA INC,FORT WORTH,TX,Owner name keyword,low,4,4,V
551FR,A703AF,3980203,Unknown,Unknown,ONEFLIGHT INTERNATIONAL INC,ENGLEWOOD,CO,Owner name keyword,low,5,5,V
551Z,A70561,3800344,STD LIBELLE 201B,GLASFLUGEL,TAHER ANDREW,TIJERAS,NM,Model: STD LIBELLE 201B,medium,1,0,V
552AE,A706DE,1181455,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
552EM,A70749,2730180,Unknown,Unknown,PARAMOUNT AEROSPACE SYSTEMS USA INC,FORT WORTH,TX,Owner name keyword,low,4,4,V
552LE,A707D8,7640110,Unknown,Unknown,LEADING EDGE FLIGHT ACADEMY LLC,BEND,OR,Owner name keyword,low,6,1,V
5538P,A70E0E,8380310,Unknown,Unknown,AERIAL CROP CARE CO,HEBRON,ND,Owner name keyword,low,4,2,V
553AA,A70A91,3022082,Unknown,Unknown,FRONTERA FLIGHT HOLDINGS INC,DOVER,DE,Owner name keyword,low,5,5,V
553AE,A70A95,1181455,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
553MA,A70BA4,0600007,Unknown,Unknown,FLIGHTLINE AIR SERVICE LLC,PINEVILLE,LA,Owner name keyword,low,4,8,V
553RS,A70C18,06101H1,Unknown,Unknown,GUIDED SYSTEMS TECHNOLOGIES INC,MCDONOUGH,GA,Owner name keyword,low,6,10,V
553XB,A70C9F,8143021,S-76D,SIKORSKY AIRCRAFT CORP,AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC,NEWBURGH,NY,Model: S-76D,medium,6,3,V
554EM,A70EB7,2730177,Unknown,Unknown,PARAMOUNT AEROSPACE SYSTEMS USA INC,FORT WORTH,TX,Owner name keyword,low,4,4,V
554RP,A70FCC,5626005,BO-105C,MESSERSCHMITT-BOELKOW-BLOHM-GM,TWIN ROTORS FLYING CIRCUS LLC,PORT ORANGE,FL,Model: BO-105C,medium,6,3,V
5551L,A71484,2071835,Unknown,Unknown,PEA-WAYMAN FLIGHT LLC,DAYTONA BEACH,FL,Owner name keyword,low,4,8,V
555FW,A71290,1152920,Unknown,Unknown,COMMERCE FLIGHT LLC,COMMERCE,TX,Owner name keyword,low,5,2,V
555LJ,A71301,5170306,Unknown,Unknown,BECK ANGELIQUE VERSCHUUR,IONE,CA,Owner name keyword,low,5,4,V
555TN,A713B4,06102KE,Unknown,Unknown,GENERAL ATOMICS AERONAUTICAL SYSTEMS INC,POWAY,CA,Owner name keyword,low,4,2,V
555YE,A71429,5620030,Unknown,Unknown,REACH AIR MEDICAL SERVICES LLC,SANTA ROSA,CA,Owner name keyword,low,6,3,V
5565D,A718C0,1152740,Unknown,Unknown,DIRECT FLIGHT INC,VINEYARD HAVEN,MA,Owner name keyword,low,5,1,V
5567,A71902,3800341,STANDARD LIBELLE,GLASFLUGEL,FLESBERG ALLAN J,GARDNER,KS,Model: STANDARD LIBELLE,medium,1,0,V
556AA,A715B6,3022082,Unknown,Unknown,FRONTERA FLIGHT HOLDING INC,DOVER,DE,Owner name keyword,low,5,5,V
556AL,A715C0,7150006,Unknown,Unknown,EAGLEMED LLC,WICHITA,KS,Owner name keyword,low,5,2,V
556LF,A716B5,0260401,AW119MKII,AGUSTAWESTLAND PHILADELPHIA CO,WILMINGTON TRUST CO TRUSTEE,WILMINGTON,DE,Model: AW119MKII,medium,6,3,V
556MT,A716DA,5620010,EC135 P2+,AIRBUS HELICOPTERS DEUTSCHLAND,MED TRANS CORP,DENTON,TX,Model: EC135 P2+; Owner name keyword,high,6,3,V
556PM,A71706,2809007,Unknown,Unknown,645 AERONAUTICAL SYSTEMS GROUP (AESG),WPAFB,OH,Owner name keyword,low,5,2,V
556SD,A71749,1145004,AS350B3,AMERICAN EUROCOPTER CORP,HARRIS COUNTY SHERIFFS OFFICE,HOUSTON,TX,Model: AS350B3,medium,6,3,V
556TX,A71774,1145005,AS350B3,AIRBUS HELICOPTERS INC,TEXAS DEPT OF PUBLIC SAFETY,AUSTIN,TX,Model: AS350B3,medium,6,3,V
557AD,A71970,3980050,Unknown,Unknown,GULFSTREAM FLIGHT HOLDINGS LLC,NEW YORK,NY,Owner name keyword,low,5,5,V
557DM,A719C3,056073R,Unknown,Unknown,MEDORE DOUGLAS A,ROMOLAND,CA,Owner name keyword,low,4,4,V
557SM,A71B08,7640122,Unknown,Unknown,ACMEFLIGHT LLC,SANTA ROSA,CA,Owner name keyword,low,6,1,V
558AE,A71D28,1181455,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
558MT,A71E48,5620030,Unknown,Unknown,MED-TRANS CORPORATION,DENTON,TX,Owner name keyword,low,6,3,V
559AE,A720DF,1181455,Unknown,Unknown,AIR EVAC EMS INC,O'FALLON,MO,Owner name keyword,low,6,3,V
559MT,A721FF,1182215,Unknown,Unknown,MED-TRANS CORP,DENTON,TX,Owner name keyword,low,6,3,V
55BH,A6FD33,2076802,Unknown,Unknown,TOP FLIGHT LLC,GILBERT,WV,Owner name keyword,low,5,5,V
55ER,A6FD86,1180813,Unknown,Unknown,CAVANAUGH FLIGHT MUSEUM,ADDISON,TX,Owner name keyword,low,6,1,V
55FV,A6FDA3,3980116,Unknown,Unknown,ISH FLIGHT LLC,BLOOMFIELD HILLS,MI,Owner name keyword,low,5,5,V
55LP,A6FE1A,207590R,Unknown,Unknown,AIR FLIGHT INC,FORT LAUDERDALE,FL,Owner name keyword,low,5,1,V
55UV,A6FEE8,1145009,Unknown,Unknown,RECTOR AND VISITORS OF THE UVA OBO MEDICAL CTR,CHARLOTTESVILLE,VA,Owner name keyword,low,6,3,V
55ZM,A6FF5D,1153605,Unknown,Unknown,ANGEL V LLC,GIG HARBOR,WA,Owner name keyword,low,5,1,V
560DL,A72740,2076750,Unknown,Unknown,LANDMARK MEDIA ENTERPRISES LLC,NORFOLK,VA,Owner name keyword,low,5,5,V
560EH,A72756,7640122,Unknown,Unknown,SAFEFLIGHTOPS LLC,VENETIA,PA,Owner name keyword,low,6,1,V
560LS,A727F5,2076702,Unknown,Unknown,IBC HOSPITALITY LLC,NEWPORT BEACH,CA,Owner name keyword,low,5,5,V
560LT,A727F6,2076750,Unknown,Unknown,LIFE TIME INC,CHANHASSEN,MN,Owner name keyword,low,5,5,V
560N,A72816,2076710,Unknown,Unknown,NOVANT HEALTH INC,WINSTON SALEM,NC,Owner name keyword,low,5,5,V
560WE,A728E3,2076702,Unknown,Unknown,GLFLIGHTS LLC,SAN ANTONIO,TX,Owner name keyword,low,5,5,V
561MJ,A72BBD,3350000,Unknown,Unknown,ANGEL FLIGHT CELEBRATION INC,CELEBRATION,FL,Owner name keyword,low,5,5,V
5624Y,A73153,059035O,FLIGHTSTAR 2 SC,FLIGHTSTAR INC,HALE DANIEL E,ONTARIO,OR,Model: FLIGHTSTAR 2 SC,medium,4,8,V
562AH,A72E60,1145005,AS350B3,AIRBUS HELICOPTERS INC,,,,Model: AS350B3,medium,6,3,V
563AE,A73214,1181455,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
564NS,A73703,3800344,STD LIBELLE 201B,GLASFLUGEL,GLOVER JOHN H,SEATTLE,WA,Model: STD LIBELLE 201B,medium,1,0,V
564TR,A7377F,3377510,Unknown,Unknown,CAREER AVIATION CO,WILMINGTON,DE,Owner name keyword,low,5,2,V
565SC,A73B10,0600066,Unknown,Unknown,G FORCE FLIGHT LLC,EDMOND,OK,Owner name keyword,low,4,8,V
566AA,A73D35,3022083,Unknown,Unknown,FRONTERA FLIGHT HOLDING INC,DOVER,DE,Owner name keyword,low,5,5,V
566LF,A73E34,0260401,AW119MKII,AGUSTAWESTLAND PHILADELPHIA CO,WILMINGTON TRUST CO TRUSTEE,WILMINGTON,DE,Model: AW119MKII,medium,6,3,V
566SD,A73EC8,06101FH,Unknown,Unknown,OREGON DEPARTMENT OF FISH AND WILDLIFE,CORVALLIS,OR,Owner name keyword,low,6,10,V
566TD,A73EE1,06101FH,Unknown,Unknown,OREGON DEPARTMENT OF FISH AND WILDLIFE,CORVALLIS,OR,Owner name keyword,low,6,10,V
56755,A74410,7103405,Unknown,Unknown,PEA-WAYMAN FLIGHT LLC,DAYTONA BEACH,FL,Owner name keyword,low,5,1,V
5679D,A74482,1153402,Unknown,Unknown,ACE FLIGHT CENTER INC,SAINT THOMAS,VI,Owner name keyword,low,5,1,V
567AE,A740F0,1181455,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
567HB,A7419C,0260101,A109E,AGUSTA SPA,CJ LEASING LLC TRUSTEE,LAKELAND,FL,Model: A109E,medium,6,3,V
567KS,A741DD,2071835,Unknown,Unknown,KING SKY FLIGHT ACADEMY LLC,LAKELAND,FL,Owner name keyword,low,4,8,V
567TR,A742A4,3377510,Unknown,Unknown,CAREER AVIATION CO,WILMINGTON,DE,Owner name keyword,low,5,2,V
568AE,A744A7,1145004,AS350B3,AMERICAN EUROCOPTER CORP,SEMINOLE TRIBE OF FLORIDA,HOLLYWOOD,FL,Model: AS350B3,medium,6,3,V
568AM,A744AE,1145000,AS350B2,AMERICAN EUROCOPTER LLC,EUROTEC VERTICAL FLIGHT SOLUTIONS LLC,EUDORA,KS,Model: AS350B2; Owner name keyword,high,6,3,V
569TR,A74A12,138447G,Unknown,Unknown,CAREER AVIATION CO INC,WILMINGTON,DE,Owner name keyword,low,5,5,V
56AU,A724A4,2990009,Unknown,Unknown,AURORA FLIGHT SCIENCES CORP,MANASSAS,VA,Owner name keyword,low,5,1,V
56CF,A724C9,1181407,Unknown,Unknown,VERTOL SYSTEMS INC,DESTIN,FL,Owner name keyword,low,6,3,V
56JP,A72567,5170805,Unknown,Unknown,MED AIR LLC,LAWRENCEVILLE,GA,Owner name keyword,low,5,5,V
56LB,A7258D,1153402,Unknown,Unknown,ARLINGTON FLIGHT SERVICES INC,ARLINGTON,WA,Owner name keyword,low,5,1,V
56SB,A72623,3260402,Unknown,Unknown,FLIGHT SERVICES INVESTMENTS LTD CO,SANDIA PARK,NM,Owner name keyword,low,5,5,V
570AE,A74E6E,1145004,AS350B3,AMERICAN EUROCOPTER CORP,TEMSCO HELICOPTERS INC,KETCHIKAN,AK,Model: AS350B3; Owner name keyword,high,6,3,V
570MP,A74F8A,5170805,Unknown,Unknown,MED AIR LLC,LAWRENCEVILLE,GA,Owner name keyword,low,5,5,V
5725,A758DE,3800344,STD LIBELLE 201B,GLASFLUGEL,SLACK JONATHAN D,BONFIELD,IL,Model: STD LIBELLE 201B,medium,1,0,V
5731X,A75C1F,2074502,Unknown,Unknown,LIFE IS FLYING INC,DEERFIELD BEACH,FL,Owner name keyword,low,5,1,V
573AG,A75995,8680987,Unknown,Unknown,EUROTEC VERTICAL FLIGHT SOLUTIONS LLC,EUDORA,KS,Owner name keyword,low,6,3,V
573AM,A7599A,1145000,AS350B2,AMERICAN EUROCOPTER LLC,HELO METRICS LLC,MEEKER,CO,Model: AS350B2,medium,6,3,V
573CM,A759CC,2076601,Unknown,Unknown,FLIGHTLINE HOLDINGS LLC,NEW ORELANS,LA,Owner name keyword,low,5,5,V
574AE,A75D4A,1181455,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
574AM,A75D51,1145002,AS350B3,AMERICAN EUROCOPTER LLC,AIR METHODS LLC,GREENWOOD VILLAGE,CO,Model: AS350B3,medium,6,3,V
576AA,A764B4,3022082,Unknown,Unknown,FRONTERAFLIGHT HOLDINGS INC,DOVER,DE,Owner name keyword,low,5,5,V
576AM,A764BF,1145000,AS350B2,AMERICAN EUROCOPTER LLC,ARIS AVIATION GROUP LLC,HENDERSON,NV,Model: AS350B2,medium,6,3,V
576AV,A764C7,8143021,S-76D,SIKORSKY AIRCRAFT CORP,ABBVIE US LLC,WAUKEGAN,IL,Model: S-76D,medium,6,3,V
576DT,A76510,8143008,S-76C,SIKORSKY,AREA 109 LLC,BROOKLYN,NY,Model: S-76C,medium,6,3,V
576ME,A765CB,5620038,EC135T3,AIRBUS HELICOPTERS DEUTSCHLAND,CENTER FOR EMERGENCY MEDICINE OF WESTERN PENNSYLVA,WEST MIFFLIN,PA,Model: EC135T3; Owner name keyword,high,6,3,V
576VP,A7669C,8143006,S-76A,SIKORSKY,N576VP LLC,CHINO,CA,Model: S-76A,medium,6,3,V
577MT,A7698F,5620040,EC135 P3,AIRBUS HELICOPTERS DEUTSCHLAND,MED-TRANS CORPORATION,DENTON,TX,Model: EC135 P3; Owner name keyword,high,6,3,V
577SF,A76A00,3802552,Unknown,Unknown,MUSEUM OF FLIGHT FOUNDATION,SEATTLE,WA,Owner name keyword,low,1,1,V
578AS,A76C32,3021706,Unknown,Unknown,NIGHTHAWK AIR SYSTEMS INC,MIAMI,FL,Owner name keyword,low,5,1,V
578TR,A76DDA,138447G,Unknown,Unknown,CAREER AVIATION CO INC,WILMINGTON,DE,Owner name keyword,low,5,5,V
57954,A772FC,8680817,AS350BA,AEROSPATIALE,NS AIR LEASING LLC,WILMINGTON,DE,Model: AS350BA,medium,6,3,V
5799S,A7737C,8051606,Unknown,Unknown,FLIGHT DYNAMICS LLC,DE LEON SPRINGS,FL,Owner name keyword,low,1,0,V
579ME,A770F0,5620038,EC135T3,AIRBUS HELICOPTERS DEUTSCHLAND,CENTER FOR EMERGENCY MEDICINE OF WESTERN PENN,WEST MIFFLIN,PA,Model: EC135T3; Owner name keyword,high,6,3,V
57BW,A74C3E,2074234,Unknown,Unknown,NORTHWOODS AIRLIFELINE LTD,KINGSFORD,MI,Owner name keyword,low,5,1,V
57CD,A74C46,4360116,Unknown,Unknown,CAREY JAMES DEAN,WINTERSET,IA,Owner name keyword,low,6,1,V
57HR,A74CCF,0260116,AW109SP,AGUSTAWESTLAND SPA,SEMINOLE TRIBE OF FLORIDA DBA,DAVIE,FL,Model: AW109SP,medium,6,3,V
57KW,A74D06,7090553,Unknown,Unknown,SCHUSSBOOMER SYSTEMS INC,ANACORTES,WA,Owner name keyword,low,4,2,V
57SH,A74DA8,5170805,Unknown,Unknown,SANFORD HEALTH,SIOUX FALLS,SD,Owner name keyword,low,5,5,V
5805T,A77901,8680801,AS-350B ECUREUIL,S N I A S,STEFENELLI AVIATION N-TR INC TRUSTEE,ATTERSEE,,Model: AS-350B ECUREUIL,medium,6,3,V
580BA,A77602,7150006,Unknown,Unknown,N FLIGHT LLC,KENEDY,TX,Owner name keyword,low,5,2,V
580RM,A7776B,2076617,Unknown,Unknown,WINGS JET FLIGHT TRAINING LLC,LOS ANGELES,CA,Owner name keyword,low,5,5,V
580RV,A77773,06001B1,Unknown,Unknown,HAWKINS FLIGHT ACADEMY LLC,SHELBYVILLE,TN,Owner name keyword,low,4,8,V
58191,A77D4C,4470706,Unknown,Unknown,TEMSCO HELICOPTERS INC,KETCHIKAN,AK,Owner name keyword,low,6,3,V
581AA,A779A0,3022082,Unknown,Unknown,FRONTERA FLIGHT HOLDING INC,DOVER,DE,Owner name keyword,low,5,5,V
581EA,A77A04,7150041,Unknown,Unknown,ELITE MEDICAL AIR TRANSPORT LLC DBA,EL PASO,TX,Owner name keyword,low,5,2,V
581HC,A77A51,2076618,Unknown,Unknown,IHC HEALTH SERVICES INC,SALT LAKE CITY,UT,Owner name keyword,low,5,5,V
582MK,A77E73,05902K8,FLIGHTSTAR II,FLIGHTSTAR,ORTIZ RIVERA LUIS R,CAROLINA,PR,Model: FLIGHTSTAR II,medium,4,7,V
582RD,A77ED1,1145005,AS350B3,AIRBUS HELICOPTERS INC,CITY OF SAN ANTONIO,SAN ANTONIO,TX,Model: AS350B3,medium,6,3,V
58337,A783EE,4470706,Unknown,Unknown,TEMSCO HELICOPTERS INC,KETCHIKAN,AK,Owner name keyword,low,6,3,V
583DW,A7816D,2076014,Unknown,Unknown,KINETIC SYSTEMS INC,RICHMOND HILL,GA,Owner name keyword,low,5,1,V
58415,A7875D,4470706,Unknown,Unknown,TEMSCO HELICOPTERS INC,KETCHIKAN,AK,Owner name keyword,low,6,3,V
584CC,A784F9,7640122,Unknown,Unknown,HELIFLIGHTS LEASING LLC,BRICK,NJ,Owner name keyword,low,6,1,V
584DT,A78521,1152740,Unknown,Unknown,TIGER FLIGHT LLC,FLORENCE,SC,Owner name keyword,low,5,1,V
584ST,A78666,7090551,Unknown,Unknown,NORTHEAST MONTANA STAT AIR AMBULANCE COOPERATIVE,GLASGOW,MT,Owner name keyword,low,4,2,V
585AE,A78880,8680954,Unknown,Unknown,PHI HEALTH LLC,PHOENIX,AZ,Owner name keyword,low,6,3,V
585V,A78A56,056327Y,Unknown,Unknown,CENTRAL SECURITY SYSTEMS INC,SOUTHERN PINES,NC,Owner name keyword,low,4,8,V
5867J,A78F88,1152706,Unknown,Unknown,FLIGHT GUYS BARON LLC,CORAL SPRINGS,FL,Owner name keyword,low,5,1,V
586J,A78CFA,060001T,Unknown,Unknown,GET INSPIRED FLIGHT INC,ALPHARETTA,GA,Owner name keyword,low,4,8,V
586LF,A78D32,0260401,AW119MKII,AGUSTAWESTLAND PHILADELPHIA CO,WILMINGTON TRUST CO TRUSTEE,WILMINGTON,DE,Model: AW119MKII,medium,6,3,V
587PB,A79130,1152911,Unknown,Unknown,GUARDIAN FLIGHT LLC,LEWISVILLE,TX,Owner name keyword,low,5,2,V
587SL,A79184,2076820,Unknown,Unknown,NUTRAMAX LABORATORIES CONSUMER CARE INC,LANCASTER,SC,Owner name keyword,low,5,5,V
588AE,A793A5,1181455,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
588SA,A79531,7150004,Unknown,Unknown,REACH AIR MEDICAL SERVICES LLC,SANTA ROSA,CA,Owner name keyword,low,5,2,V
589AE,A7975C,1181455,Unknown,Unknown,AIR EVAC EMS INC,O'FALLON,MO,Owner name keyword,low,6,3,V
589JD,A79823,060005E,Unknown,Unknown,RAINIER FLIGHT SERVICE LLC,RENTON,WA,Owner name keyword,low,4,8,V
589ME,A7986F,5620038,EC135T3,AIRBUS HELICOPTERS DEUTSCHLAND,CENTER FOR EMERG MED OF W PENN STAT MEDEVAC PROG,WEST MIFFLIN,PA,Model: EC135T3; Owner name keyword,high,6,3,V
58AY,A773A6,1152922,Unknown,Unknown,AVIAPA FLIGHT LLC,DOYLESTOWN,PA,Owner name keyword,low,5,2,V
58CF,A773C7,8360608,Unknown,Unknown,COMPUTERIZED FLIGHT SYSTEMS INC,NOKOMIS,FL,Owner name keyword,low,5,1,V
58JR,A77467,0260109,AGUSTA A109,AGUSTA SPA,INTEGRITY AIRCRAFT TITLE HOLDINGS LLC,PORTLAND,OR,Model: AGUSTA A109,medium,6,3,V
58PB,A774D6,1152740,Unknown,Unknown,DIRECT FLIGHT LLC,KITTY HAWK,NC,Owner name keyword,low,5,1,V
590AA,A79D68,3022083,Unknown,Unknown,FRONTERA FLIGHT HOLDINGS INC,DOVER,DE,Owner name keyword,low,5,5,V
590AE,A79D6C,8680963,Unknown,Unknown,PHI HEALTH LLC,PHOENIX,AZ,Owner name keyword,low,6,3,V
590ME,A79E7F,5620038,EC135T3,AIRBUS HELICOPTERS DEUTSCHLAND,CENTER FOR EMERGENCY MEDICINE OF WESTERN PA,WEST MIFFLIN,PA,Model: EC135T3; Owner name keyword,high,6,3,V
590ML,A79E85,6960204,Unknown,Unknown,MEDICAL LOGISTICS LLC,SALEM,OR,Owner name keyword,low,5,2,V
590SR,A79F07,05901UU,Unknown,Unknown,GARRIGA MIGUEL ANGEL,STEVENSVILLE,MD,Owner name keyword,low,4,8,V
5911,A7A399,3800337,H 301 LIBELLE,GLASFLUGEL,MONTAGUE MARK W,RENO,NV,Model: H 301 LIBELLE,medium,1,0,V
591CF,A7A156,1500285,Unknown,Unknown,KMW FLIGHT LLC,WILMINGTON,DE,Owner name keyword,low,5,5,V
591CT,A7A162,0600001,Unknown,Unknown,FLIGHTDREAMS LLC,WASHINGTON,UT,Owner name keyword,low,4,8,V
591MM,A7A23D,2076601,Unknown,Unknown,FANTASY FLIGHT LLC,ATLANTA,GA,Owner name keyword,low,5,5,V
592MG,A7A5EF,056269Y,Unknown,Unknown,MEDEROS ALLEN L,FORT WORTH,TX,Owner name keyword,low,4,2,V
5935T,A7ABA5,2071810,Unknown,Unknown,VALLEY WINGS FLIGHT SCHOOL LLC,HARLINGEN,TX,Owner name keyword,low,4,8,V
593EX,A7A906,2073701,Unknown,Unknown,MARANA TACTICAL FLIGHT LLC,TUCSON,AZ,Owner name keyword,low,4,2,V
5943T,A7AF16,2071810,Unknown,Unknown,MISSION FLIGHT ACADEMY,REDLANDS,CA,Owner name keyword,low,4,8,V
594MC,A7AD59,1145005,AS350B3,AIRBUS HELICOPTERS INC,EAST FLAGLER MOSQUITO CONTROL DISTRICT,PALM COAST,FL,Model: AS350B3,medium,6,3,V
595AE,A7AFFF,1182107,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
595HC,A7B0AC,06102IE,Unknown,Unknown,HUDSON REGIONAL HEALTH COMMISSION,SECAUCUS,NJ,Owner name keyword,low,H,10,V
596LF,A7B4B1,0260401,AW119MKII,AGUSTAWESTLAND PHILADELPHIA CO,WILMINGTON TRUST CO TRUSTEE,WILMINGTON,DE,Model: AW119MKII,medium,6,3,V
596MS,A7B4D5,8680817,AS350BA,AEROSPATIALE,NS AIR LEASING LLC,WILMINGTON,DE,Model: AS350BA,medium,6,3,V
597P,A7B8AD,7150004,Unknown,Unknown,GUARDIAN FLIGHT LLC,LEWISVILLE,TX,Owner name keyword,low,5,2,V
5996M,A7C20C,2076014,Unknown,Unknown,MEDCARE EMERGENCY MEDICAL SERVICES INC,MCALLEN,TX,Owner name keyword,low,5,1,V
599LB,A7BFD2,5620031,Unknown,Unknown,AIR MED SERVICES LLC,LAFAYETTE,LA,Owner name keyword,low,6,3,V
599SD,A7C06A,1145004,AS350B3,AMERICAN EUROCOPTER CORP,PIMA COUNTY SHERIFFS DEPARTMENT,TUCSON,AZ,Model: AS350B3,medium,6,3,V
599TA,A7C080,5170805,Unknown,Unknown,AIR MED SERVICES LLC,LAFAYETTE,LA,Owner name keyword,low,5,5,V
59AE,A79B13,1182107,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
59AH,A79B16,8680615,Unknown,Unknown,ANGELONE INC,ELKHART,IN,Owner name keyword,low,6,3,V
59CJ,A79B49,2730174,Unknown,Unknown,OPTICAL AIR DATA SYSTEMS LLC,MANASSAS,VA,Owner name keyword,low,5,5,V
59P,A79C53,0260103,A109S,AGUSTA SPA,DIESEL ACQUISITIONS LLC,MILPITAS,CA,Model: A109S,medium,6,3,V
59ZX,A79D63,0260101,A109E,AGUSTA SPA,AS 355 LLC,GAY,GA,Model: A109E,medium,6,3,V
5BG,A6355E,5626006,BO-105S,MESSERSCHMITT-BOELKOW-BLOHM,LINSCOTT JEFFREY RODMAN,BORING,OR,Model: BO-105S,medium,6,3,V
5DM,A63595,7090551,Unknown,Unknown,GUARDIAN FLIGHT LLC,LEWISVILLE,TX,Owner name keyword,low,4,2,V
5JH,A6360E,2130010,Unknown,Unknown,SIERRA HEALTH AND WELLNESS CENTERS LLC,SACRAMENTO,CA,Owner name keyword,low,4,5,V
5PW,A63698,5620025,MBB-BK117 D-3,AIRBUS HELICOPTERS DEUTSCHLAND,PPH145 LLC,ENGLEWOOD,CO,Model: MBB-BK117 D-3,medium,6,3,V
5UV,A63714,0260101,A109E,AGUSTA SPA,PORTLOCK AVIATION LLC,MANSFIELD,TX,Model: A109E,medium,6,3,V
5VN,A63726,2074007,Unknown,Unknown,CAVANAUGH FLIGHT MUSEUM,ADDISON,TX,Owner name keyword,low,5,1,V
6008S,A7CAC0,1153605,Unknown,Unknown,AUSTIN AERIAL MEDIA LLC,PFLUGERVILLE,TX,Owner name keyword,low,5,1,V
600HN,A7C7FB,5620040,EC135 P3,AIRBUS HELICOPTERS DEUTSCHLAND,HEALTHNET AEROMEDICAL SERVICES INC,CHARLESTON,WV,Model: EC135 P3; Owner name keyword,high,6,3,V
600LL,A7C844,8680903,AS365N3,EUROCOPTER,INTEGRITY AIRCRAFT TITLE HOLDINGS LLC,PORTLAND,OR,Model: AS365N3,medium,6,3,V
600RS,A7C8C7,1145004,AS350B3,AMERICAN EUROCOPTER CORP,HELLA FUN 1 LLC,BELLE ISLE,FL,Model: AS350B3,medium,6,3,V
600SP,A7C8DD,0260120,A109A II,AGUSTA SPA,MAGENTA AVIATION SOLUTIONS LLC,WILMINGTON,DE,Model: A109A II,medium,6,3,V
60125,A7CDB2,4220003,Unknown,Unknown,STRAIGHT FLIGHT NEVADA COMMERCIAL LEASING LLC,SPARKS,NV,Owner name keyword,low,5,2,V
6012F,A7CD9A,1153408,Unknown,Unknown,SANDERS FLIGHT TRAINING CENTER,JASPER,AL,Owner name keyword,low,5,1,V
601BG,A7CB16,7090551,Unknown,Unknown,MANAGEMENT SYSTEMS CORP,GRAND FORKS,ND,Owner name keyword,low,4,2,V
601MT,A7CC1B,5620030,Unknown,Unknown,MED-TRANS CORP,DENTON,TX,Owner name keyword,low,6,3,V
6020Y,A7D11C,060005E,Unknown,Unknown,RAINIER FLIGHT SERVICE LLC,RENTON,WA,Owner name keyword,low,4,8,V
60225,A7D169,060005E,Unknown,Unknown,FALCON FLIGHT LLC,LAS VEGAS,NV,Owner name keyword,low,4,8,V
6024K,A7D19B,1152744,Unknown,Unknown,NABARRETTE ANGEL,ODESSA,TX,Owner name keyword,low,5,1,V
6026H,A7D1DF,7103406,Unknown,Unknown,MIAMI VALLEY CAREER TECHNOLOGY CENTER,ENGLEWOOD,OH,Owner name keyword,low,5,1,V
6027A,A7D1FB,060005E,Unknown,Unknown,FLIGHT WORLD INC,SAN JUAN,PR,Owner name keyword,low,4,8,V
6029V,A7D254,060005E,Unknown,Unknown,RAINIER FLIGHT SERVICE LLC,RENTON,WA,Owner name keyword,low,4,8,V
602FB,A7CF2C,33601QH,AW119 MKII,LEONARDO S P A,ERA HELICOPTERS LLC,LAKE CHARLES,LA,Model: AW119 MKII,medium,6,3,V
602MT,A7CFD2,5620030,Unknown,Unknown,MED-TRANS CORP,DENTON,TX,Owner name keyword,low,6,3,V
60353,A7D587,7300102,Unknown,Unknown,MUSEUM OF FLIGHT FOUNDATION,SEATTLE,WA,Owner name keyword,low,1,0,V
